Rank,Encoding,Word Length,Word,Language Score
1,196599,14, bulunmaktadır,0.9358246610126577
2,177388,13, Schülerinnen,0.7753204920494817
3,183137,13, gerçekleştir,0.9999999953576753
4,187152,13, gatnaşyklary,0.736739807965803
5,192316,13, Türkmenistan,0.747931730302496
6,130313,12,-Württemberg,0.5057059714647354
7,153672,12, mümkinçilik,0.9561050400987007
8,53249,11, tarafından,0.9371796637099598
9,113451,11, içerisinde,0.9998728116256946
10,137675,11, çalışmalar,0.985876683204724
11,143891,11, gerçekleşt,0.9999999953576753
12,165013,11, insanların,0.8344375386181613
13,177631,11, kullanılan,0.9999410937666869
14,184154,11, kapsamında,0.8584154536086556
15,120054,10, üzerinden,0.8578475479534896
16,121285,10, kullanıcı,0.9999802696248339
17,122823,10,ürttemberg,0.5057059714647354
18,144162,10, özellikle,0.5772492706722359
19,149897,10, değerlend,0.9997283516507052
20,152111,10, começaram,0.8485427873807319
21,157870,10, olacaktır,0.8985572032602928
22,166175,10, gerçekleş,0.9999999687281179
23,168410,10,uslararası,0.8719867771207878
24,174241,10, sırasında,0.8807140955642246
25,178121,10, almacenar,0.6862380719194483
26,179531,10, açısından,0.9743543863464801
27,185579,10, geçirilen,0.9764435686685707
28,195151,10, gerekiyor,0.9981693418418955
29,197300,10, gerçekten,0.999970953075882
30,54564,9, olduğunu,0.8413550318386412
31,55306,9, arasında,0.8584154536086556
32,79100,9, tangible,0.5253811346761553
33,93126,9, hakkında,0.8584154536086556
34,97682,9, gerçekle,0.9999971333250428
35,98753,9, üzerinde,0.8578475479534896
36,103290,9, Künstler,0.5870792936465127
37,104521,9, olabilir,0.9738312645083759
38,117356,9, ursprüng,0.6983851267635218
39,118661,9, ardından,0.8906293575306464
40,119925,9, alarming,0.7085073760401537
41,135899,9, kullanıl,0.9999410937666869
42,136326,9, yardımcı,0.9901264816627829
43,142778,9, haqqında,0.8584154536086556
44,143653,9, değildir,0.9926060222401233
45,159183,9, teşekkür,0.9989977060639796
46,160245,9, hazırlan,0.8340963065602157
47,162182,9, vatandaş,0.7688460021434449
48,165703,9, dünyanın,0.8342237422217507
49,168083,9, yaklaşık,0.9952840574886943
50,173762,9, başarılı,0.8925086918663053
51,187235,9, kullanım,0.9999731610500573
52,193736,9, başlayan,0.9098439670576669
53,194239,9, Müdürlüğ,0.8194416473950891
54,195706,9, olmadığı,0.9065699947320581
55,197340,9, geçirmek,0.9764435686685707
56,44265,8, Türkmen,0.747931730302496
57,52627,8, şekilde,0.8631550181008504
58,54313,8, Myanmar,0.8690873782200069
59,54659,8, Stanley,0.6075600083187228
60,56905,8, Türkiye,0.747931730302496
61,60902,8, começar,0.8485427873807319
62,61914,8, começou,0.7200372401080565
63,65631,8, Justiça,0.8922835711416734
64,70113,8,maktadır,0.8597767164943588
65,84356,8, yapılan,0.9159580379560296
66,91273,8, türkmen,0.6875634329036548
67,91951,8, Başkanı,0.9574452459785416
68,93030,8, arkadaş,0.9446792183539201
69,96344,8, oluştur,0.9893377789209262
70,101607,8, Telerik,0.9383594786280417
71,104172,8, üzerine,0.8578475479534896
72,106377,8, yılında,0.9475733731884319
73,107444,8, justiça,0.8922835711416734
74,112763,8,larından,0.8906293575306464
75,113682,8, altında,0.8584154536086556
76,116620,8, oldukça,0.9077280286710694
77,120421,8, geçiril,0.9764435686685707
78,120699,8, olmayan,0.9378737252228211
79,123250,8, çalışan,0.8683532629978167
80,124328,8, özellik,0.5772492706722359
81,125069,8, Gründen,0.6983851267635218
82,125309,8, yatırım,0.9731926530229686
83,126933,8, araştır,0.9892425938539248
84,130012,8, yaptığı,0.9027724937925468
85,131514,8, onların,0.8584154536086556
86,136099,8, inkişaf,0.5981533923624368
87,139239,8, başladı,0.8392442343563086
88,139273,8, keçiril,0.8883135595582422
89,144508,8, çeşitli,0.9982318771006906
90,147217,8, gerekir,0.5862841788069842
91,147274,8, iştirak,0.8036017938737541
92,149958,8, ihtiyaç,0.9996660844933596
93,151037,8, isteyen,0.5365341692304556
94,151777,8, sümptom,0.8396101904755603
95,152328,8, yeniden,0.6978389904258782
96,152554,8, yanında,0.8805902154350448
97,154779,8, degişli,0.9813474013151088
98,158510,8, Erdoğan,0.9413228236781248
99,161580,8, gerekli,0.960185075793199
100,162348,8, çalışma,0.9469674591876007
