Rank,Encoding,Word Length,Word,Language Score
1,106378,16,　　　　　　　　　　　　　　　　,1.0
2,113862,11,ありがとうございました,1.0
3,93926,10,ありがとうございます,1.0
4,147058,10,VIPがお送りします,1.0
5,33552,8,　　　　　　　　,0.9999999994741269
6,108576,8, 風吹けば名無し,1.0
7,133274,8,】【：】【“】【,0.9999999982928233
8,170050,8,"　　

　　

",0.9997401882463557
9,171403,8, スーパーコピー,1.0
10,196368,8,】【。】【”】【,0.9999999999988861
11,77298,7,＠お腹いっぱい,1.0
12,87123,7,風吹けば名無し,1.0
13,118712,7,トラックバック,1.0
14,123086,7,がお送りします,1.0
15,139807,7,　　　　　　　,0.99999999078515
16,177976,7,ご了承ください,1.0
17,44948,6, 名無しさん,1.0
18,98829,6,"。...

",0.7931028756031543
19,106409,6,ございました,1.0
20,109574,6, レディース,1.0
21,109585,6,ラックバック,1.0
22,119029,6,　　　　　　,0.9999998385286504
23,136526,6,お問い合わせ,1.0
24,137015,6,お願いします,1.0
25,146906,6,の名無しさん,1.0
26,148746,6,してください,1.0
27,151993,6,ონისძი,0.8690148219137623
28,169195,6,中央値との差,1.0
29,186328,6,"。




",0.9568797858643081
30,192583,6,しております,1.0
31,195002,6,プロフィール,1.0
32,195972,6,"】【。】

",0.9999988654354277
33,196993,6,されています,1.0
34,22733,5,】【，】【,0.9999998264888832
35,26139,5,名無しさん,1.0
36,44832,5,】【。】【,0.9999999879240384
37,55300,5,ありがとう,1.0
38,58669,5,"。



",0.9568797858643081
39,59809,5,ございます,1.0
40,90602,5,＠恐縮です,1.0
41,92559,5,ランキング,0.9999999999999999
42,94092,5,　　　　　,0.9999971705528456
43,95839,5,こんにちは,1.0
44,102059,5,】【“】【,0.9999927155816087
45,105097,5,問い合わせ,1.0
46,105931,5,続きを読む,1.0
47,111060,5,】【、】【,0.9999999999997367
48,120362,5,送りします,1.0
49,121986,5, スーパー,1.0
50,123622,5,スポンサー,0.9999999999999999
51,124871,5,しています,1.0
52,125704,5, אָפּ,0.5433758131821248
53,135592,5,რძნობ,0.8477449043742119
54,143814,5, 名無しの,1.0
55,144531,5,ありません,1.0
56,147875,5,"。。。

",0.999999876157593
57,154079,5,転載は禁止,0.9999999939649048
58,159656,5, ブラック,0.999999999995664
59,161506,5,】【”】【,0.9999997648894547
60,164454,5,があります,1.0
61,168396,5,平均との差,1.0
62,173276,5,になります,1.0
63,178398,5, 无码av,0.8670142369862541
64,178655,5,オンライン,1.0
65,178757,5,こんばんは,1.0
66,180276,5, ブランド,0.9999999999999951
67,185024,5,カテゴリー,0.9999999995746837
68,189993,5,იძლია,0.789081714591593
69,190841,5,っています,1.0
70,191902,5, コメント,1.0
71,197513,5,＠おーぷん,1.0
72,12754,4,　　　　,0.9999504220512418
73,13121,4, हु�,0.6445164468164176
74,25735,4,"。”

",0.9568797858643081
75,29259,4, કો�,0.7001915683314871
76,31281,4,"。


",0.9568797858643081
77,34360,4,"。。

",0.9999253012632169
78,34507,4, 名無し,0.9999999971690762
79,40248,4, તે�,0.595177212371654
80,41460,4,コメント,0.9999999999999987
81,43283,4, פּר,0.5062764085744816
82,44900,4,ください,1.0
83,45202,4,"”。

",0.9985476584048725
84,45955,4,"　　

",0.9850041907607318
85,61666,4,"！”

",0.9706102822492902
86,69834,4, दु�,0.5897883764650917
87,69920,4,いっぱい,1.0
88,72067,4,"）。

",0.9985541386533765
89,72905,4, 　 　,0.9998128356659889
90,77376,4,"%。

",0.9568797858643081
91,77798,4,いました,1.0
92,79059,4,אַפּ,0.5842813332942434
93,79639,4,━━━━,0.8962980856874407
94,79854,4,しました,1.0
95,84967,4, פּל,0.7226352139921418
96,86165,4,風吹けば,0.9999999999311925
97,89244,4,რძელ,0.789081714591593
98,89941,4,ディース,1.0
99,90288,4,恐縮です,1.0
100,90683,4,"。」

",0.999579283839408
