Rank,Encoding,Word Length,Word,Language Score_langdetect,Language Score_langid
1,55460,8, 가나다라마바사,0.9999963441564594,1.0
2,169203,6, 감사합니다,0.9999976224424454,1.0
3,187662,6, 가능합니다,0.9999984642578051,1.0
4,199548,6, 제공합니다,0.9999969775194574,1.0
5,25824,5, 있습니다,0.9999983654965401,1.0
6,67837,5,﻿출장안마,0.9999999803834977,1.0
7,82875,5, 프로그램,0.999997827254146,1.0
8,84652,5, 없습니다,0.9999992628303046,1.0
9,86424,5, 것입니다,0.9999973905562519,1.0
10,113243,5, 않습니다,0.9999992424942419,1.0
11,134957,5, 바랍니다,0.9999999401398163,1.0
12,136069,5,되었습니다,0.9999984318538276,1.0
13,138901,5,오프화이트,0.9999989074655715,1.0
14,152088,5, 사람들이,0.9999997172400981,1.0
15,153238,5, 업데이트,0.9999985450416566,1.0
16,162373,5, 다운로드,0.9999994058820474,1.0
17,164579,5, 프로젝트,0.9999983122121854,1.0
18,166772,5, 홈페이지,0.9999985606889915,1.0
19,170465,5, 때문이다,0.9999989056244233,1.0
20,171580,5, 개인정보,0.9999999172052462,1.0
21,172126,5, 같습니다,0.9999985102814261,1.0
22,175340,5, 서비스를,0.9999991146155984,1.0
23,176781,5, 사용하는,0.9999985338515953,1.0
24,182898,5, 데이터를,0.9999990082722449,1.0
25,187182,5, 대상으로,0.9999966593378894,1.0
26,194048,5, 대한민국,0.9999996847006964,0.9999999999999999
27,195802,5, 예정이다,0.9999987467765475,1.0
28,55337,4, 가나다,0.9999985864799731,1.0
29,55429,4,라마바사,0.9999995299518343,1.0
30,59749,4, 서비스,0.9999983395357666,1.0
31,61130,4, 카지노,0.9999984607373844,0.9999999999999631
32,61584,4,출장안마,0.9999983770079582,1.0
33,62232,4,었습니다,0.9999983861783039,1.0
34,62937,4, 때문에,0.999998730717534,0.9999999999999999
35,64417,4, 합니다,0.9999986058917391,1.0
36,64892,4, 것으로,0.9999999697296696,1.0
37,66580,4, 것이다,0.9999986959580067,1.0
38,66586,4, 데이터,0.999999858707079,0.9999999999999931
39,68036,4, 그리고,0.9999998305689939,0.9999999999999998
40,70998,4,했습니다,0.999999321961585,1.0
41,72263,4, 다양한,0.9999986262276899,1.0
42,77380,4, 아니라,0.9999992223127808,1.0
43,83630,4, 새로운,0.9999988114224516,1.0
44,88820,4, 온라인,0.9999979090985724,1.0
45,92418,4, 하지만,0.9999999823270331,1.0
46,92980,4, 만들어,0.9999993575227014,1.0
47,95532,4, 밝혔다,0.9999980434390141,0.9999999999999974
48,96571,4, 사이트,0.9999998063546032,1.0
49,96864,4, 있으며,0.9999999366577768,1.0
50,97865,4, 말했다,0.9999986891396053,0.9999999999999993
51,97906,4, 어떻게,0.9999974203738076,0.9999999999999197
52,100608,4, 있도록,0.9999988680503791,0.9999999999999996
53,103066,4, 페이지,0.999999608122176,1.0
54,104898,4, 시스템,0.9999990210807381,1.0
55,105216,4,겠습니다,0.9999985843703797,1.0
56,109976,4, 대통령,0.9999986995176606,0.9999999999998326
57,110573,4,프화이트,0.99999981951121,1.0
58,111502,4, 그러나,0.9999990897143476,1.0
59,112289,4, 자신의,0.9999999608689257,1.0
60,112805,4, 이벤트,0.9999954347496631,1.0
61,113089,4, 있었다,0.999999779941283,1.0
62,113147,4, 가지고,0.9999976528253474,1.0
63,115077,4, 필요한,0.9999999606256731,1.0
64,115948,4, 됩니다,0.9999979528458347,1.0
65,117070,4, 코로나,0.9999992416266119,0.9999999999999934
66,117086,4, 이야기,0.9999999925717347,1.0
67,119833,4, 입니다,0.999998568060721,1.0
68,120608,4, 있다는,0.9999995205337779,1.0
69,122483,4, 디자인,0.9999955682109983,1.0
70,124785,4, 이렇게,0.9999990303508449,1.0
71,125710,4, 정보를,0.9999999814575002,1.0
72,128980,4, 가능한,0.9999994480579815,1.0
73,129416,4, 우리는,0.9999989632676493,1.0
74,130207,4, 이러한,0.9999990119395303,1.0
75,132967,4, 인터넷,0.9999988338252137,0.9999999999999997
76,133102,4, 사람이,0.9999995614474725,1.0
77,133254,4, 따르면,0.9999999614772194,0.9999999999999845
78,134048,4, 이미지,0.9999988008969493,1.0
79,134774,4, 리스트,0.9999987016979712,1.0
80,135515,4,드립니다,0.9999999706495868,1.0
81,137515,4, 있다고,0.9999990159656622,1.0
82,137792,4, 마지막,0.9999990478607802,0.9999999999999996
83,138183,4, 플레이,0.9999996731932299,1.0
84,140012,4,해주세요,0.9999995135081029,1.0
85,140295,4, 있는데,0.9999985857007598,1.0
86,140310,4, 그래서,0.9999989855606726,1.0
87,140944,4, 대해서,0.9999991824934737,1.0
88,141410,4, 중요한,0.9999983750371684,1.0
89,143242,4, 사용할,0.9999993383543865,1.0
90,144117,4,였습니다,0.9999988055910529,1.0
91,145036,4, 대부분,0.9999984068101384,0.9999999999999818
92,145488,4, 가운데,0.9999981386193999,1.0
93,148362,4, 바카라,0.9999997585582053,0.9999999999999863
94,149312,4, 있지만,0.9999980298713189,1.0
95,151049,4, 브랜드,0.9999997647024093,0.9999999999990891
96,155374,4, 스포츠,0.9999990246536362,0.9999999999999998
97,155419,4, 사용자,0.9999991695244561,1.0
98,158388,4, 클래스,0.9999976858704577,1.0
99,158867,4, 스마트,0.9999987409491425,1.0
100,159807,4, 도움이,0.9999999351708272,1.0
