Rank,Encoding,Word Length,Word,Language Score
1,179078,17, государственного,0.999996829985522
2,199737,17, законодательства,0.9999986710810244
3,131376,16, непосредственно,0.9999944303805979
4,135179,16, государственной,0.9999975173433435
5,136805,16, воспользоваться,0.9999989683455112
6,150266,16, ответственность,0.9999974896170097
7,151213,16, ответственности,0.9999959316092231
8,189330,16, специализирован,0.8570391201617347
9,191438,16, Республикасынын,0.999999147965892
10,192435,16, государственных,0.9999985422315658
11,82801,15, самостоятельно,0.9999972521967542
12,114002,15, осуществляется,0.9999987789121028
13,130286,15, использованием,0.9999984587735888
14,145955,15, дополнительные,0.999998022635529
15,151029,15, соответственно,0.9999972026188177
16,163615,15, дополнительных,0.9999978536785669
17,172904,15, производителей,0.9999946109919611
18,183021,15, представителей,0.5714293780266525
19,190152,15, восстановления,0.9999954309908016
20,73158,14, использования,0.9999982650125592
21,78338,14, действительно,0.999996631683781
22,90132,14, необходимости,0.9999958970996096
23,98087,14, рекомендуется,0.9999951864595205
24,107808,14, использование,0.999998282098804
25,110942,14, пользователей,0.9999967226359349
26,123433,14, строительства,0.9999980402145054
27,131132,14, исключительно,0.9999980308021488
28,131269,14, приготовления,0.9999941028017144
29,131316,14, использовании,0.9999957970289192
30,136502,14, собственности,0.9999971804384733
31,146638,14, аҳәынҭқарратә,0.9999973120554582
32,149447,14, аҭагылазаашьа,0.9999985843653296
33,160293,14, строительство,0.9999980071025503
34,162600,14, администрации,0.9999941449386089
35,162977,14, автоматически,0.999994097848453
36,167919,14, производителя,0.9999942196323199
37,170561,14, необходимость,0.9999950108178896
38,170763,14, соответствует,0.9999948030396361
39,173350,14, возникновения,0.9999959541339978
40,174838,14, представитель,0.9999981667122129
41,183316,14, эффективности,0.9999978391566342
42,188247,14, эффективность,0.9999977671333922
43,188924,14, правительства,0.9999967203968005
44,189121,14, последователь,0.9999945767323644
45,195070,14, предоставляет,0.9999974873251807
46,198720,14, удовольствием,0.9999980040573424
47,38571,13, использовать,0.9999962222337071
48,56454,13, деятельности,0.9999959033911554
49,64350,13, самостоятель,0.9999950535524723
50,71905,13, безопасности,0.8571388995930003
51,75203,13, соответствии,0.9999952250630804
52,75763,13, производства,0.9999937356640222
53,83729,13, законодатель,0.9999956899699328
54,84756,13, используется,0.9999992012341332
55,91892,13, представляет,0.9999957419971557
56,93371,13, оборудования,0.9999958905359887
57,96952,13, исследования,0.9999988123843948
58,99647,13, беременности,0.9999947213988265
59,105870,13, Башҡортостан,0.9999938923646068
60,106778,13, пользователя,0.9999962947393587
61,112998,13, эксплуатации,0.9999977029825792
62,113332,13, деятельность,0.9999965721590616
63,116590,13, используются,0.9999978256338296
64,117512,13, оборудование,0.999994291063988
65,118382,13, одновременно,0.9999975202974246
66,118739,13, относительно,0.9999963946512505
67,120845,13, взаимодейств,0.9999950692166079
68,125162,13, образователь,0.9999969340533943
69,125742,13, производство,0.9999932298107213
70,126179,13, обеспечивает,0.9999960675431359
71,131784,13, специалистов,0.9999928023696091
72,139098,13, пользоваться,0.9999964324596635
73,141835,13, представлены,0.9999959404818107
74,143756,13, привлекатель,0.9999980247261719
75,147996,13, пользователь,0.9999970346160801
76,153402,13, производится,0.9999953786808562
77,154510,13, пространство,0.9999927896714149
78,157941,13, изготовления,0.9999939830634119
79,159092,13, боловсруулах,0.9999942979711127
80,163117,13, способствует,0.9999955411559922
81,163345,13, рекомендации,0.9999928004533
82,170951,13, обслуживания,0.9999949612180519
83,171841,13, исследований,0.9999966477163489
84,172650,13, преимущества,0.9999949355510134
85,173493,13, удовольствие,0.9999961917493463
86,174037,13, определяется,0.9999969321410153
87,176508,13, распространя,0.9999970246034791
88,187150,13, предоставить,0.9999964656785948
89,187850,13, пространства,0.9999927496844547
90,189170,13, формирования,0.9999940918396586
91,191861,13, возможностей,0.9999943388081902
92,191865,13, обслуживание,0.999994260212564
93,194368,13, Республикасы,0.9999976035399438
94,199307,13, собственного,0.9999950212714716
95,199330,13, безопасность,0.9999947829588389
96,44334,12, возможность,0.9999935339820802
97,52363,12, дополнитель,0.9999981150012006
98,61793,12, регистрации,0.9999947027193318
99,65967,12, обязательно,0.9999943659401132
100,66919,12, практически,0.999992275313506
