Rank,Encoding,Word Length,Word,Language Score_langdetect,Language Score_langid
1,196599,14, bulunmaktadır,0.9999991127471468,0.9358246610126577
2,183137,13, gerçekleştir,0.9999987372019523,0.9999999953576753
3,192316,13, Türkmenistan,0.9999947760991594,0.747931730302496
4,153672,12, mümkinçilik,0.9999995670454267,0.9561050400987007
5,53249,11, tarafından,0.999999548624788,0.9371796637099598
6,113451,11, içerisinde,0.9999981465998727,0.9998728116256946
7,137675,11, çalışmalar,0.99999839870411,0.985876683204724
8,143891,11, gerçekleşt,0.9999984787866565,0.9999999953576753
9,165013,11, insanların,0.9999994384361135,0.8344375386181613
10,177631,11, kullanılan,0.9999989036339618,0.9999410937666869
11,184154,11, kapsamında,0.9999985702612532,0.8584154536086556
12,120054,10, üzerinden,0.999995699103652,0.8578475479534896
13,121285,10, kullanıcı,0.9999989823049934,0.9999802696248339
14,144162,10, özellikle,0.9999966999753285,0.5772492706722359
15,149897,10, değerlend,0.9999970160682321,0.9997283516507052
16,157870,10, olacaktır,0.9999977144953688,0.8985572032602928
17,166175,10, gerçekleş,0.9999972270954101,0.9999999687281179
18,168410,10,uslararası,0.9999982034501185,0.8719867771207878
19,174241,10, sırasında,0.9999964939214261,0.8807140955642246
20,179531,10, açısından,0.9999992789044452,0.9743543863464801
21,185579,10, geçirilen,0.999996014374744,0.9764435686685707
22,195151,10, gerekiyor,0.9999977485683623,0.9981693418418955
23,197300,10, gerçekten,0.9999986295715213,0.999970953075882
24,54564,9, olduğunu,0.9999966047884099,0.8413550318386412
25,55306,9, arasında,0.9999965889180491,0.8584154536086556
26,93126,9, hakkında,0.9999977265161416,0.8584154536086556
27,97682,9, gerçekle,0.9999981412443035,0.9999971333250428
28,98753,9, üzerinde,0.9999988259593556,0.8578475479534896
29,103290,9, Künstler,0.7142850420412991,0.5870792936465127
30,104521,9, olabilir,0.9999966800188466,0.9738312645083759
31,118661,9, ardından,0.9999979875301187,0.8906293575306464
32,135899,9, kullanıl,0.9999982271391901,0.9999410937666869
33,136326,9, yardımcı,0.9999999083768142,0.9901264816627829
34,142778,9, haqqında,0.9999984336775432,0.8584154536086556
35,143653,9, değildir,0.9999975909843872,0.9926060222401233
36,159183,9, teşekkür,0.9999996238134063,0.9989977060639796
37,160245,9, hazırlan,0.9999990150472196,0.8340963065602157
38,162182,9, vatandaş,0.9999969579676169,0.7688460021434449
39,165703,9, dünyanın,0.9999992707492751,0.8342237422217507
40,168083,9, yaklaşık,0.9999980921927433,0.9952840574886943
41,173762,9, başarılı,0.9999983090553026,0.8925086918663053
42,187235,9, kullanım,0.9999971515353193,0.9999731610500573
43,193736,9, başlayan,0.9999979022895601,0.9098439670576669
44,194239,9, Müdürlüğ,0.9999990916959529,0.8194416473950891
45,195706,9, olmadığı,0.9999993667821185,0.9065699947320581
46,197340,9, geçirmek,0.9999989849774158,0.9764435686685707
47,44265,8, Türkmen,0.9999975577034068,0.747931730302496
48,52627,8, şekilde,0.999998357961513,0.8631550181008504
49,54313,8, Myanmar,0.9999970918186925,0.8690873782200069
50,54659,8, Stanley,0.9999972680375069,0.6075600083187228
51,56905,8, Türkiye,0.9999977860877756,0.747931730302496
52,70113,8,maktadır,0.999997942016654,0.8597767164943588
53,84356,8, yapılan,0.9999978964363404,0.9159580379560296
54,91273,8, türkmen,0.9999987702187004,0.6875634329036548
55,91951,8, Başkanı,0.9999974089250766,0.9574452459785416
56,93030,8, arkadaş,0.5714267088608319,0.9446792183539201
57,96344,8, oluştur,0.9999984036914626,0.9893377789209262
58,101607,8, Telerik,0.9999922316810802,0.9383594786280417
59,104172,8, üzerine,0.9999984926551057,0.8578475479534896
60,106377,8, yılında,0.9999997526560087,0.9475733731884319
61,112763,8,larından,0.9999984103065092,0.8906293575306464
62,113682,8, altında,0.99999983057967,0.8584154536086556
63,116620,8, oldukça,0.999997792523865,0.9077280286710694
64,120421,8, geçiril,0.9999973253923946,0.9764435686685707
65,120699,8, olmayan,0.9999979495669655,0.9378737252228211
66,123250,8, çalışan,0.9999995422812185,0.8683532629978167
67,124328,8, özellik,0.9999964809011977,0.5772492706722359
68,125309,8, yatırım,0.9999998728014584,0.9731926530229686
69,126933,8, araştır,0.9999976664971492,0.9892425938539248
70,130012,8, yaptığı,0.9999999211685706,0.9027724937925468
71,131514,8, onların,0.999999052955583,0.8584154536086556
72,136099,8, inkişaf,0.9999992385212755,0.5981533923624368
73,139239,8, başladı,0.9999999134896841,0.8392442343563086
74,139273,8, keçiril,0.9999979166196727,0.8883135595582422
75,144508,8, çeşitli,0.9999986708804542,0.9982318771006906
76,147217,8, gerekir,0.9999977667249931,0.5862841788069842
77,147274,8, iştirak,0.9999979556552062,0.8036017938737541
78,149958,8, ihtiyaç,0.9999977265194753,0.9996660844933596
79,151037,8, isteyen,0.5714275364787182,0.5365341692304556
80,152328,8, yeniden,0.99999901543538,0.6978389904258782
81,152554,8, yanında,0.9999987329393898,0.8805902154350448
82,154779,8, degişli,0.5714269123531415,0.9813474013151088
83,158510,8, Erdoğan,0.9999958835331697,0.9413228236781248
84,162348,8, çalışma,0.999999922634689,0.9469674591876007
85,165655,8, ilişkin,0.9999988132547585,0.9515523083285921
86,168485,8, seçenek,0.9999971324780479,0.9919950860735265
87,168566,8, dışında,0.9999997007997592,0.8299842294297183
88,171430,8, kümmern,0.5714249379049647,0.9173853382299371
89,172734,8, yaşayan,0.9999991588614783,0.8806590545660763
90,175629,8, sürekli,0.9999983417478564,0.9855153562017185
91,175912,8, kişinin,0.9999960258648443,0.5590589819730161
92,184572,8, başlang,0.8571415675990097,0.7974129439114422
93,186770,8, bağlant,0.9999980828248791,0.8844388975979255
94,189836,8,alarında,0.9999973520229323,0.9072665589445313
95,195509,8, geliyor,0.9999976625255476,0.8814345241753054
96,197897,8,alarının,0.9999975721499332,0.921757644213949
97,198672,8, kuruluş,0.9999978080196109,0.9997714099660955
98,198965,8, kişiler,0.9999972382429202,0.5590589819730161
99,199007,8, sonrası,0.9999976899353529,0.9173350637848163
100,22229,7, olarak,0.999997854435821,0.9258131895755631
