Rank,Encoding,Word Length,Word,Language Score
1,67585,15, Türkmenistanyň,0.999996015520884
2,147952,14,Türkmenistanyň,0.9999960848535302
3,196599,14, bulunmaktadır,0.9999979923509406
4,62692,13, standardized,0.9999964897318889
5,149843,13, Üniversitesi,0.8571389508222291
6,183137,13, gerçekleştir,0.9999976607554679
7,188695,13, Azərbaycanın,0.9999981742462514
8,192316,13, Türkmenistan,0.9999974552918661
9,153672,12, mümkinçilik,0.9999983903854364
10,165447,12, Multiplayer,0.8571390138350611
11,42008,11, durability,0.8571386215803415
12,50039,11, vocabulary,0.8571401055094577
13,53249,11, tarafından,0.9999993680972556
14,69056,11,abilirsiniz,0.9999973033964487
15,80975,11, Disneyland,0.9999973076660641
16,81034,11, veterinary,0.5406756669025735
17,113451,11, içerisinde,0.9999975108819462
18,127907,11, tarapyndan,0.5714256920074697
19,134527,11,ebilirsiniz,0.9999974867555536
20,137675,11, çalışmalar,0.9999987822934764
21,143891,11, gerçekleşt,0.9999982374677168
22,149191,11, verklaring,0.9999937110907584
23,151919,11, Vocabulary,0.7142831345497302
24,161256,11, Volleyball,0.9999961906976362
25,165013,11, insanların,0.9999996416144121
26,166954,11, bilərsiniz,0.9999959763028213
27,169815,11, stabilized,0.8570387246629549
28,177631,11, kullanılan,0.9999986371725845
29,184154,11, kapsamında,0.9999981059045895
30,187462,11, Belediyesi,0.9999974285307751
31,189381,11,anelekileyo,0.999996631731727
32,190314,11, Danmarkimi,0.9999946982820505
33,190754,11, filmmaking,0.8571393623819585
34,193644,11, industriya,0.8571393207511121
35,18809,10, yesterday,0.9999955999934672
36,19602,10, regularly,0.5714278853920712
37,60314,10, similarly,0.9999978460208515
38,65037,10, Similarly,0.9999980513886075
39,69337,10, hazardous,0.5714265262421934
40,85247,10, Yesterday,0.9999975377495663
41,96941,10, Billboard,0.7142825320961785
42,120054,10, üzerinden,0.9999975262179942
43,121285,10, kullanıcı,0.9999995966051416
44,124222,10, vineyards,0.9999980035265486
45,125637,10, stabilize,0.8571383352619871
46,130124,10, nedeniyle,0.999998127215677
47,144162,10, özellikle,0.9999986871118856
48,148079,10, sayesinde,0.9999963418548459
49,149897,10, değerlend,0.999997549059912
50,157870,10, olacaktır,0.999997849972813
51,166175,10, gerçekleş,0.9999990186434871
52,168410,10,uslararası,0.999998587027626
53,174241,10, sırasında,0.9999993708122493
54,175269,10, ancillary,0.7133456054808878
55,178456,10, billboard,0.8571402075761279
56,179531,10, açısından,0.9999989758571999
57,184010,10, Byzantine,0.5714282127750318
58,185338,10,Vocabulary,0.8571409550326652
59,185579,10, geçirilen,0.9999986252469616
60,185977,10, Hezbollah,0.9999984680483895
61,190676,10, adelgazar,0.9999975024488628
62,195151,10, gerekiyor,0.9999947714427703
63,196105,10, tarihinde,0.999997021924395
64,197300,10, gerçekten,0.9999989313627949
65,199287,10, teklifler,0.999995123035373
66,19695,9, everyday,0.8571383814833122
67,23013,9, keyboard,0.999995395647781
68,25658,9, Calendar,0.7142833997865969
69,36737,9, Maryland,0.999996555431202
70,41167,9, Portland,0.9999955912349279
71,41302,9,(Calendar,0.5714281019253231
72,41615,9, karakter,0.9999929047425644
73,42405,9, backyard,0.9999961656019862
74,44160,9, Airlines,0.9999969450675081
75,47302,9, Keyboard,0.9999964198164166
76,53560,9,Tokenizer,0.7142840730470519
77,54564,9, olduğunu,0.9999970244288625
78,55306,9, arasında,0.9999986378891689
79,57198,9, airlines,0.9999964634023739
80,65698,9, Berkeley,0.7142837190478624
81,70877,9,Yesterday,0.9999963137105023
82,70895,9,ocabulary,0.9999957886448818
83,71661,9, tabindex,0.8571394294530899
84,73822,9, birlikte,0.9999975485790495
85,76007,9, bullying,0.857142001534482
86,79769,9,.Calendar,0.7142823882865874
87,90519,9,.makedirs,0.9999959626477424
88,91992,9, İstanbul,0.9999974330446507
89,93126,9, hakkında,0.9999991831359474
90,96480,9, surveyed,0.9999967604313025
91,97682,9, gerçekle,0.9999962049558699
92,98753,9, üzerinde,0.9999977319343403
93,104521,9, olabilir,0.9999993102521991
94,105415,9, silently,0.8571394942367806
95,106779,9, retiring,0.7142832913700845
96,107234,9, player's,0.857140017367539
97,108273,9, bulletin,0.9999968048791767
98,109894,9, Everyday,0.8571409651905278
99,113725,9, Bulletin,0.9999949630938555
100,115653,9,.keyboard,0.8571398072433332
