Rank,Encoding,Word Length,Word,Language Score
1,55460,8, 가나다라마바사,1.0
2,169203,6, 감사합니다,1.0
3,187662,6, 가능합니다,1.0
4,199548,6, 제공합니다,1.0
5,25824,5, 있습니다,1.0
6,67837,5,﻿출장안마,1.0
7,82875,5, 프로그램,1.0
8,84652,5, 없습니다,1.0
9,86424,5, 것입니다,1.0
10,113243,5, 않습니다,1.0
11,134957,5, 바랍니다,1.0
12,136069,5,되었습니다,1.0
13,138901,5,오프화이트,1.0
14,152088,5, 사람들이,1.0
15,153238,5, 업데이트,1.0
16,162373,5, 다운로드,1.0
17,164579,5, 프로젝트,1.0
18,166772,5, 홈페이지,1.0
19,170465,5, 때문이다,1.0
20,171580,5, 개인정보,1.0
21,172126,5, 같습니다,1.0
22,175340,5, 서비스를,1.0
23,176781,5, 사용하는,1.0
24,182898,5, 데이터를,1.0
25,187182,5, 대상으로,1.0
26,194048,5, 대한민국,0.9999999999999999
27,195802,5, 예정이다,1.0
28,38024,4," €

",0.8857959839601338
29,55337,4, 가나다,1.0
30,55429,4,라마바사,1.0
31,55977,4,♀♀♀♀,0.6315052121567751
32,59749,4, 서비스,1.0
33,61130,4, 카지노,0.9999999999999631
34,61584,4,출장안마,1.0
35,62232,4,었습니다,1.0
36,62937,4, 때문에,0.9999999999999999
37,64417,4, 합니다,1.0
38,64892,4, 것으로,1.0
39,66580,4, 것이다,1.0
40,66586,4, 데이터,0.9999999999999931
41,68036,4, 그리고,0.9999999999999998
42,70998,4,했습니다,1.0
43,72263,4, 다양한,1.0
44,77380,4, 아니라,1.0
45,83630,4, 새로운,1.0
46,88820,4, 온라인,1.0
47,92418,4, 하지만,1.0
48,92980,4, 만들어,1.0
49,95532,4, 밝혔다,0.9999999999999974
50,96571,4, 사이트,1.0
51,96864,4, 있으며,1.0
52,97560,4,████,0.9997569015076495
53,97865,4, 말했다,0.9999999999999993
54,97906,4, 어떻게,0.9999999999999197
55,100608,4, 있도록,0.9999999999999996
56,103066,4, 페이지,1.0
57,104898,4, 시스템,1.0
58,105216,4,겠습니다,1.0
59,109976,4, 대통령,0.9999999999998326
60,110573,4,프화이트,1.0
61,111502,4, 그러나,1.0
62,112289,4, 자신의,1.0
63,112805,4, 이벤트,1.0
64,113089,4, 있었다,1.0
65,113147,4, 가지고,1.0
66,115077,4, 필요한,1.0
67,115948,4, 됩니다,1.0
68,117070,4, 코로나,0.9999999999999934
69,117086,4, 이야기,1.0
70,119457,4,"€¦

",0.8486195535100347
71,119833,4, 입니다,1.0
72,120608,4, 있다는,1.0
73,122483,4, 디자인,1.0
74,124785,4, 이렇게,1.0
75,125710,4, 정보를,1.0
76,128980,4, 가능한,1.0
77,129416,4, 우리는,1.0
78,130207,4, 이러한,1.0
79,132967,4, 인터넷,0.9999999999999997
80,133102,4, 사람이,1.0
81,133254,4, 따르면,0.9999999999999845
82,134048,4, 이미지,1.0
83,134774,4, 리스트,1.0
84,135515,4,드립니다,1.0
85,137515,4, 있다고,1.0
86,137792,4, 마지막,0.9999999999999996
87,138183,4, 플레이,1.0
88,140012,4,해주세요,1.0
89,140295,4, 있는데,1.0
90,140310,4, 그래서,1.0
91,140944,4, 대해서,1.0
92,141410,4, 중요한,1.0
93,143242,4, 사용할,1.0
94,144117,4,였습니다,1.0
95,145036,4, 대부분,0.9999999999999818
96,145488,4, 가운데,1.0
97,148362,4, 바카라,0.9999999999999863
98,149312,4, 있지만,1.0
99,151049,4, 브랜드,0.9999999999990891
100,155374,4, 스포츠,0.9999999999999998
