Rank,Encoding,Word Length,Word,Language Score
1,179078,17, государственного,0.9992303846888669
2,199737,17, законодательства,0.9441003558135328
3,131376,16, непосредственно,0.577499472749429
4,135179,16, государственной,0.9999982340105916
5,150266,16, ответственность,0.9999999824887629
6,151213,16, ответственности,0.9200104310502527
7,191438,16, Республикасынын,0.9209513504005844
8,192435,16, государственных,0.9999985696039246
9,82801,15, самостоятельно,0.9999979123888065
10,114002,15, осуществляется,0.9999981387113993
11,130286,15, использованием,0.9999999986767508
12,145955,15, дополнительные,0.9999999999999978
13,151029,15, соответственно,0.9993698785634162
14,163615,15, дополнительных,0.9999999999983048
15,190152,15, восстановления,0.9183080816003827
16,73158,14, использования,0.9999996930143381
17,78338,14, действительно,0.999954672006191
18,90132,14, необходимости,0.9432195920736429
19,98087,14, рекомендуется,0.996834409512993
20,107808,14, использование,0.9999999978668536
21,110942,14, пользователей,0.9989985116510753
22,123433,14, строительства,0.9999996920882491
23,131132,14, исключительно,0.9999999527183778
24,131269,14, приготовления,0.5167455871168203
25,131316,14, использовании,0.9999984996001265
26,136502,14, собственности,0.9997756723338315
27,160293,14, строительство,0.9999998581034264
28,162600,14, администрации,0.9400822394477076
29,162977,14, автоматически,0.8227872117275381
30,167919,14, производителя,0.5025677064166525
31,170561,14, необходимость,0.9980658962754576
32,170763,14, соответствует,0.9980420006563059
33,173350,14, возникновения,0.8449411821404882
34,174838,14, представитель,0.9934089275249725
35,183316,14, эффективности,0.9967287495496293
36,188247,14, эффективность,0.999713405202697
37,188924,14, правительства,0.9924768773267573
38,189121,14, последователь,0.9999734150714593
39,195070,14, предоставляет,0.6697208419045451
40,198720,14, удовольствием,0.9999936942099061
41,38571,13, использовать,0.9991308407109106
42,56454,13, деятельности,0.9998905201041354
43,64350,13, самостоятель,0.9999980688764203
44,75203,13, соответствии,0.9888923766022357
45,83729,13, законодатель,0.9167282271991165
46,84756,13, используется,0.9999984881117444
47,93371,13, оборудования,0.9798087407227141
48,99647,13, беременности,0.9435885946571037
49,105870,13, Башҡортостан,0.9375444547360525
50,106778,13, пользователя,0.9776945222024765
51,112998,13, эксплуатации,0.9996273705795792
52,113332,13, деятельность,0.9999892758027178
53,116590,13, используются,0.999984111094416
54,117512,13, оборудование,0.9838966451805529
55,118382,13, одновременно,0.7771538576419224
56,118739,13, относительно,0.9999998999084856
57,120845,13, взаимодейств,0.9671627299696884
58,125162,13, образователь,0.9988526293105967
59,126179,13, обеспечивает,0.811826339476891
60,131784,13, специалистов,0.8012462285743841
61,141835,13, представлены,0.9999921422325176
62,143756,13, привлекатель,0.9990927872182502
63,147996,13, пользователь,0.9945440354928986
64,153402,13, производится,0.9944073464549615
65,154510,13, пространство,0.9838327664692833
66,163117,13, способствует,0.999914112989635
67,170951,13, обслуживания,0.9431168824964807
68,171841,13, исследований,0.9994945918279841
69,173493,13, удовольствие,0.9999898347808551
70,174037,13, определяется,0.9997707172127946
71,176508,13, распространя,0.832581543354218
72,187150,13, предоставить,0.9082581635419208
73,187850,13, пространства,0.938541418159897
74,191861,13, возможностей,0.9336944420451242
75,191865,13, обслуживание,0.9529448318495631
76,194368,13, Республикасы,0.9999429486057969
77,199307,13, собственного,0.9999450893070316
78,199330,13, безопасность,0.9427085988503585
79,52363,12, дополнитель,0.9999793903281501
80,61793,12, регистрации,0.9788679381323506
81,65967,12, обязательно,0.9946478516145244
82,71055,12, характерист,0.5420957147003084
83,74301,12, распростран,0.9708967835433399
84,93080,12, поверхности,0.8772209326011444
85,104551,12, максимально,0.6726792611672451
86,104626,12, значительно,0.8714158060428414
87,107286,12, особенности,0.9995022350288498
88,115709,12, государства,0.9671414300080244
89,115927,12, конструкции,0.9986103690527728
90,121009,12, образование,0.509990540911236
91,121244,12, сотрудников,0.9430193997315482
92,123724,12, заключается,0.8710409540478397
93,126270,12, обеспечения,0.8235531425788999
94,126302,12, поверхность,0.9879237388520269
95,127114,12, большинство,0.9700022200952904
96,133465,12, автомобилей,0.8686444684464091
97,133546,12, организаций,0.6582770655894645
98,133699,12, необходимые,0.9999999977871945
99,138566,12, специалисты,0.9999474888316633
100,142853,12, потребуется,0.9994721325814633
