Rank,Encoding,Word Length,Word,Language Score
1,133739,19, selbstverständlich,0.9228396136714088
2,193348,19, Wahrscheinlichkeit,0.9999999999993701
3,88004,18, unterschiedlichen,0.9999999983114661
4,134381,18, Herausforderungen,0.9999940423704168
5,98312,17, unterschiedliche,0.9999998597008882
6,134069,17, Dienstleistungen,0.9999999999902506
7,191537,17, Veröffentlichung,0.9999999998383466
8,77238,16, accomplishments,0.6904971080662384
9,93928,16, correspondiente,0.5044513191958765
10,104848,16, Veranstaltungen,0.999998974718094
11,107119,16, unterschiedlich,0.9999887184009031
12,115553,16, synchronization,0.5239427309472537
13,136277,16, Schwangerschaft,0.9999771550038322
14,139059,16, beziehungsweise,0.999999523266454
15,147518,16, Herausforderung,0.9999366440687277
16,154013,16, Voraussetzungen,0.9999999977739539
17,170326,16, Geschäftsführer,0.9999999998450386
18,170854,16, Bundesregierung,0.9999820137679495
19,180241,16, Digitalisierung,0.9999991907768562
20,183602,16, Geschwindigkeit,0.9999999930611886
21,194115,16, tentoonstelling,0.5186927618364435
22,196042,16, Schwierigkeiten,0.9999999995153969
23,30471,15, authentication,0.8521309589448636
24,65155,15, beispielsweise,0.997505436267999
25,84052,15, veröffentlicht,0.9999999998604466
26,86504,15, understandable,0.9546017389913494
27,87411,15, Zusammenarbeit,0.9999999977287778
28,88922,15, wahrscheinlich,0.9999991209528861
29,90378,15, accomplishment,0.6904971080662384
30,92282,15, ausschließlich,0.9999999992622824
31,97740,15, Spielautomaten,0.7538568540299807
32,108241,15, entsprechenden,0.9998644926868044
33,111881,15, ausgeschlossen,0.9999980142340311
34,123534,15, verantwortlich,0.999766810275014
35,129126,15, möglicherweise,0.9999999999995979
36,144685,15, Aufmerksamkeit,0.999998293230363
37,146197,15, einschließlich,0.9999999999999987
38,150947,15, chrysanthemums,0.5239427309472537
39,153527,15, Entscheidungen,0.999999924305566
40,164218,15, Öffentlichkeit,0.9999999999024105
41,164367,15, offensichtlich,0.9999993954872117
42,171463,15, asynchronously,0.5873852208676996
43,171801,15,rscheinlichkeit,0.9999999998526072
44,174745,15, berücksichtigt,0.9999999999999996
45,177621,15, understatement,0.8901113354346936
46,184287,15, Landwirtschaft,0.9999978101889174
47,188419,15, chromatography,0.5239427309472537
48,191164,15,Synchronization,0.5239427309472537
49,195840,15, Persönlichkeit,0.9999940108364744
50,199545,15, understandably,0.9546017389913494
51,10335,14, understanding,0.8901113354346936
52,16796,14, comprehensive,0.8598236390418816
53,20067,14, verschillende,0.7072308348019134
54,43049,14, verschiedenen,0.9098751202748896
55,46051,14, undergraduate,0.6069256094692024
56,61034,14, Understanding,0.6227894811795622
57,66196,14, Möglichkeiten,0.999999999994018
58,67781,14, Unterstützung,0.9999999995826998
59,91423,14, comprehension,0.8598236390418816
60,91810,14, Veranstaltung,0.9996170560034423
61,94862,14, Comprehensive,0.8598236390418816
62,96900,14, Anforderungen,0.9999865303509502
63,99292,14, independiente,0.5044513191958765
64,112220,14, Eigenschaften,0.999999942917406
65,114933,14, ausgezeichnet,0.9999999999617094
66,115151,14, Vergangenheit,0.949264363280579
67,117657,14, reinforcement,0.8400922252963319
68,118553,14, entsprechende,0.9998644926868044
69,119641,14, Verantwortung,0.9999836325956426
70,119996,14, vertegenwoord,0.8796820510476839
71,127083,14, grundsätzlich,0.999999988274191
72,130725,14, abgeschlossen,0.9998988442847118
73,132858,14, eigenschappen,0.9903526387996799
74,134791,14, funktionieren,0.9829892123925158
75,142521,14, Einstellungen,0.9999999998302737
76,142586,14, beneidenswert,0.8970198339346752
77,142939,14, schizophrenia,0.9966425925615195
78,146583,14, unerquicklich,0.9568415196111459
79,146953,14, Einrichtungen,0.9999999999999988
80,147652,14, reprehenderit,0.9855226889962043
81,148846,14, Veränderungen,0.9999995466403035
82,150077,14,smöglichkeiten,0.9999999999570455
83,150774,14, underestimate,0.8123937103404387
84,152634,14, enlightenment,0.8002127952523098
85,153688,14, Bürgermeister,0.9981076477171795
86,156100,14, chronological,0.5239427309472537
87,157293,14, elektronische,0.956033205507786
88,157552,14, normalerweise,0.9886115040758128
89,160040,14, Veröffentlich,0.9999999879879212
90,162642,14, unterscheiden,0.9999710123172645
91,165042,14, interessieren,0.7014675368285737
92,166797,14, erfolgreichen,0.999999999992885
93,166924,14, homeschooling,0.8360354232866465
94,167021,14, Niedersachsen,0.9673339259289494
95,169301,14, hauptsächlich,0.9999523881000957
96,175542,14, gewährleisten,0.9999999962443236
97,181461,14, verschiedener,0.9098751202748896
98,183836,14, Registrierung,0.9995806371196757
99,189835,14, herunterladen,0.9973184415113668
100,193123,14, Voraussetzung,0.9999999468140669
